FID,FID_philly,OBJECTID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,Shape_Leng,Shape_Area,test_area,bg_area,FID_wards_,ward_str,new_area,ratio
45,696,697,42,101,037800,2,1500000US421010378002,421010378002,2,BG,3255946.000000000000000,1696019.000000000000000,34618.456420199996501,53784725.592500001192093,53784725.592500001192093,53784725.592500001192093,-1, ,1340569.053569999989122,0.024924716800200
46,714,715,42,101,038100,1,1500000US421010381001,421010381001,1,BG,1274936.000000000000000,526375.000000000000000,19644.034733199998300,19478332.499099999666214,19478332.499099999666214,19478332.499099999666214,-1, ,659622.082155999960378,0.033864402006000
47,715,716,42,101,038100,2,1500000US421010381002,421010381002,2,BG,2047167.000000000000000,1117170.000000000000000,28144.134526500001812,34218106.847199998795986,34218106.847199998795986,34218106.847199998795986,-1, ,651716.208232000004500,0.019045945795400
48,717,718,42,101,021400,1,1500000US421010214001,421010214001,1,BG,187916.000000000000000,55277.000000000000000,9278.840247919999456,2709969.133160000201315,2709969.133160000201315,2709969.133160000201315,-1, ,42311.102372300003481,0.015613130738100
49,754,755,42,101,006400,3,1500000US421010064003,421010064003,3,BG,430769.000000000000000,16098.000000000000000,13067.384614000000511,4708808.081819999963045,4708808.081819999963045,4708808.081819999963045,-1, ,68172.857540400000289,0.014477731170100
50,755,756,42,101,006500,6,1500000US421010065006,421010065006,6,BG,358545.000000000000000,15906.000000000000000,12584.696042199999283,3849449.365139999892563,3849449.365139999892563,3849449.365139999892563,-1, ,142117.607328999991296,0.036918944464100
51,801,802,42,101,018300,1,1500000US421010183001,421010183001,1,BG,877420.000000000000000,111300.000000000000000,18486.842011900000216,10533121.079700000584126,10533121.079700000584126,10533121.079700000584126,-1, ,32274.762735299998894,0.003064121497430
52,816,817,42,101,008301,1,1500000US421010083011,421010083011,1,BG,209277.000000000000000,4018.000000000000000,7525.603211220000048,2316939.091750000137836,2316939.091750000137836,2316939.091750000137836,-1, ,50329.311400799997500,0.021722328213100
53,824,825,42,101,009802,2,1500000US421010098022,421010098022,2,BG,270350.000000000000000,0.000000000000000,14113.286347900000692,2963946.357419999781996,2963946.357419999781996,2963946.357419999781996,-1, ,340.278603954999994,0.000114805925250
54,833,834,42,101,005400,1,1500000US421010054001,421010054001,1,BG,1846263.000000000000000,530013.000000000000000,23974.341779900001711,25527316.590900000184774,25527316.590900000184774,25527316.590900000184774,-1, ,243741.092949999991106,0.009548245781420
55,859,860,42,101,008200,5,1500000US421010082005,421010082005,5,BG,248987.000000000000000,11202.000000000000000,12373.172644099999161,2910085.918649999890476,2910085.918649999890476,2910085.918649999890476,-1, ,62825.099008999997750,0.021588743688400
56,861,862,42,101,026600,1,1500000US421010266001,421010266001,1,BG,410134.000000000000000,0.000000000000000,9349.104015450000588,4425048.703660000115633,4425048.703660000115633,4425048.703660000115633,-1, ,929.271999591000053,0.000210002660270
57,862,863,42,101,026600,3,1500000US421010266003,421010266003,3,BG,54213.000000000000000,0.000000000000000,3631.845580579999933,580718.112420000019483,580718.112420000019483,580718.112420000019483,-1, ,2633.090778050000154,0.004534197783290
58,866,867,42,101,012100,1,1500000US421010121001,421010121001,1,BG,168771.000000000000000,0.000000000000000,5827.985943800000314,1757078.291509999893606,1757078.291509999893606,1757078.291509999893606,-1, ,8.462978511050000,0.000004816506215
59,892,893,42,101,030600,5,1500000US421010306005,421010306005,5,BG,118315.000000000000000,0.000000000000000,4668.498908329999722,1311535.242480000015348,1311535.242480000015348,1311535.242480000015348,-1, ,48064.122899000001780,0.036647221776600
60,923,924,42,101,025700,1,1500000US421010257001,421010257001,1,BG,358597.000000000000000,0.000000000000000,8809.955635160000384,3853285.245039999950677,3853285.245039999950677,3853285.245039999950677,-1, ,2518.342591709999851,0.000653557271669
61,958,959,42,101,033900,2,1500000US421010339002,421010339002,2,BG,299617.000000000000000,0.000000000000000,11570.292057000000568,3358842.054760000202805,3358842.054760000202805,3358842.054760000202805,-1, ,4.966572039550000,0.000001478656024
62,970,971,42,101,036400,1,1500000US421010364001,421010364001,1,BG,4501992.000000000000000,8014.000000000000000,33991.309988200002408,48394515.432499997317791,48394515.432499997317791,48394515.432499997317791,-1, ,383229.783243999991100,0.007918868074600
63,974,975,42,101,005000,1,1500000US421010050001,421010050001,1,BG,4520880.000000000000000,3334805.000000000000000,45803.043386099998315,85125763.973199993371964,85125763.973199993371964,85125763.973199993371964,-1, ,1375446.518579999916255,0.016157817027200
64,975,976,42,101,036203,2,1500000US421010362032,421010362032,2,BG,262641.000000000000000,13445.000000000000000,7320.359916870000234,2923405.745579999871552,2923405.745579999871552,2923405.745579999871552,-1, ,11687.841658299999835,0.003998022401090
65,1030,1031,42,101,989100,1,1500000US421019891001,421019891001,1,BG,2664986.000000000000000,1649712.000000000000000,31085.466574400001264,46280989.151000000536442,46280989.151000000536442,46280989.151000000536442,-1, ,1596538.199259999906644,0.034496630874700
66,1043,1044,42,101,037800,1,1500000US421010378001,421010378001,1,BG,456777.000000000000000,211932.000000000000000,14950.772788599999330,7200454.628689999692142,7200454.628689999692142,7200454.628689999692142,-1, ,222190.075133000005735,0.030857784208200
67,1075,1076,42,101,021600,2,1500000US421010216002,421010216002,2,BG,1638301.000000000000000,129204.000000000000000,22913.075954600000841,19193931.158700000494719,19193931.158700000494719,19193931.158700000494719,-1, ,163178.218285999988439,0.008501552753150
